Origin QC8_210915 TT054_Conc2 TT056_Conc2 TT057_Conc2 TT059_Conc2 TT060_Conc2 TT062_Conc2 TT063_Conc2 TT064_Conc2 TT065_190326 TT066_Conc2 TT067_Conc2 TT068_Conc2 TT069_Conc2 TT070_Conc2 TT071_Conc2 TT072_Conc2 TT073_Conc2 TT074_190326 TT075_Conc2 TT076_190326 TT077_190326 TT078_Conc2 TT079_Conc2 TT080_Conc2 TT082_Conc2 TT083_Conc2 TT084_Conc2 TT085_Conc2 TT086_Conc2 TT087_Conc2 TT089_Conc2 TT090_Conc2 TT091_Conc2 TT092_Conc2 TT093_Conc2 TT094_Conc2 TT095_Conc2 TT096_Conc2 TT097_Conc2 TT098_Conc2 TT099_Conc2 TT100_Conc2 TT101_Conc2 TT102_Conc2 TT103_Conc2 TT104_Conc2 TT105_Conc2 TT106_Conc2 TT107_Conc2 TT108_Conc2 TT109_Conc2 TT110_Conc2 TT111_Conc3b TT112_Conc2 TT113_Conc2 TT114_Conc2 TT115_Conc2 TT116_Conc2 TT117_Conc2 TT118_Conc2 TT119_Conc2 TT121_Conc2 TT122_Conc2 TT123_Conc2 TT124_Conc3 TT125_Conc2 TT126_Conc3b TT127_Conc2 TT128_Conc2 TT129_Conc2 TT130_Conc2 TT131_Conc2 TT132_Conc2 TT133_Conc3b TT134_Conc2 TT135_Conc2 TT136_Conc2 TT137_Conc2 TT138_Conc2 TT139_Conc2 TT140_Conc2 TT141_Conc2 TT142_Conc2 TT144_Conc2 TT145_Conc2 TT146_190326 TT147_Conc2 TT148_Conc2 TT149_190326 TT150_Conc2 TT151_Conc2 TT152_Conc2 TT153_Conc2 TT154_Conc2 TT155_Conc2 TT156_Conc2 TT157_Conc3 TT158_Conc2 TT159_Conc2 TT160_190326 TT161_Conc3 TT162_Conc3 TT163_Conc3 TT164_Conc2 TT165_Conc2 TT168_Conc2 TT169_Conc2 TT170_Conc2 TT171_190326 TT172_190326 TT173_Conc3 TT174_190326 TT175_Conc3b TT176_Conc2 TT177_Conc2 TT178_Conc2 TT179_Conc2 TT180_Conc2 TT181_Conc2 TT182_Conc2 TT183_Conc2 TT184_Conc2 TT186_Conc2 TT189_190326 TT190_Conc2 Tta119_210915 Tta167_210915 Tta260_210915 Tta276_210915 Tta285_210915 Tta307_210915 Tta311_210915 Tta344_210915 Tta346_210915 Tta348_210915 Tta365_210915 Tta384_210915 Tta397_210915 Tta403_210915 Tta419_210915 Tta428_210915 TTa434_210915 Tta442_210915 Tta449_210915 Tta450_210915 Tta452_210915 Tta48_210915 TTa482_210916 TTa502_210916 Tta504_210915 TTa505_210916 Tta509_210915 Tta513_210915 Tta514_210915 TTa517_210916 TTa525_210916 TTa535_210916 TTa542_210916 TTa545_210916 TTa559_210916 TTa572_210916 TTa574_210916 TTa580_210916 TTa589_210916 TTa613_210916 Tta96_210915 TTb100_210916 TTb101_210915 TTb118_210915 TTb120_210915 TTb1_210916 TTb124_210916 TTb125_210915 TTb126_210915 TTb127_210915 TTb130_210915 TTb132_210916 TTb133_210916 TTb146_210915 TTb150_210916 TTb16_210915 TTb189_210915 TTb190_210916 TTb2_210916 TTb222_210915 TTb224_210915 TTb227_210915 TTb257_210915 TTb4_210915 TTb7_210915 TTb90_210916 TTb92_210915 TTb93_210915 TTb98_210916
TT065_190326 123.536 222.456 127.971 127.971 147.865 0.938 0 0 0 0 0 0 0 34.27 34.27 34.27 34.27 34.27 34.27 34.27 34.27 19.331 19.331 19.331 19.331 19.331 19.331 19.331 0 0 0 0 0 0 0 34.27 34.27 34.27 34.27 34.27 34.27 34.27 34.27 19.331 19.331 19.331 19.331 19.331 19.331 19.331 19.331 0 0 0 0 19.331 19.331 19.331 34.27 34.27 0 0 0 19.331 304.939 274.293 273.428 270.064 269.304 289.106 270.482 270.482 271.172 291.547 288.969 288.799 289.355 289.106 188.336 308.162 288.969 277.482 277.482 271.333 269.782 167.35 268.02 180.958 180.958 180.958 195.919 195.919 195.919 195.919 195.919 195.919 195.919 195.919 195.919 195.919 195.919 195.919 195.919 195.919 174.318 174.318 174.318 174.318 174.318 224.279 224.279 224.279 224.279 180.42 183.825 183.825 183.825 183.825 316.471 316.471 289.184 173.072 289.184 289.184 139.416 148.472 456.415 140.402 83.704 25.537 25.537 25.537 25.537 83.391 83.551 83.391 83.551 25.537 83.551 83.551 83.551 44.212 83.551 44.212 83.391 25.537 83.391 83.551 25.537 82.266 82.266 58.614 58.614 58.614 58.614 58.614 37.972 82.266 82.266 34.923 34.923 82.266 82.266 82.266 82.266 82.266 82.616 25.537 9.193 26.505 130.613 128.712 28.481 85.807 85.807 130.613 130.613 24.916 9.193 24.916 126.698 126.698 17.665 138.498 138.498 27.92 91.973 94.588 91.973 77.134 27.92 27.92 29.505 29.227 26.312 9.193
TT066_Conc2 123.536 222.456 127.971 127.971 147.865 0.938 0 0 0 0 0 0 0 34.27 34.27 34.27 34.27 34.27 34.27 34.27 34.27 19.331 19.331 19.331 19.331 19.331 19.331 19.331 0 0 0 0 0 0 0 34.27 34.27 34.27 34.27 34.27 34.27 34.27 34.27 19.331 19.331 19.331 19.331 19.331 19.331 19.331 19.331 0 0 0 0 19.331 19.331 19.331 34.27 34.27 0 0 0 19.331 304.939 274.293 273.428 270.064 269.304 289.106 270.482 270.482 271.172 291.547 288.969 288.799 289.355 289.106 188.336 308.162 288.969 277.482 277.482 271.333 269.782 167.35 268.02 180.958 180.958 180.958 195.919 195.919 195.919 195.919 195.919 195.919 195.919 195.919 195.919 195.919 195.919 195.919 195.919 195.919 174.318 174.318 174.318 174.318 174.318 224.279 224.279 224.279 224.279 180.42 183.825 183.825 183.825 183.825 316.471 316.471 289.184 173.072 289.184 289.184 139.416 148.472 456.415 140.402 83.704 25.537 25.537 25.537 25.537 83.391 83.551 83.391 83.551 25.537 83.551 83.551 83.551 44.212 83.551 44.212 83.391 25.537 83.391 83.551 25.537 82.266 82.266 58.614 58.614 58.614 58.614 58.614 37.972 82.266 82.266 34.923 34.923 82.266 82.266 82.266 82.266 82.266 82.616 25.537 9.193 26.505 130.613 128.712 28.481 85.807 85.807 130.613 130.613 24.916 9.193 24.916 126.698 126.698 17.665 138.498 138.498 27.92 91.973 94.588 91.973 77.134 27.92 27.92 29.505 29.227 26.312 9.193
TT067_Conc2 123.536 222.456 127.971 127.971 147.865 0.938 0 0 0 0 0 0 0 34.27 34.27 34.27 34.27 34.27 34.27 34.27 34.27 19.331 19.331 19.331 19.331 19.331 19.331 19.331 0 0 0 0 0 0 0 34.27 34.27 34.27 34.27 34.27 34.27 34.27 34.27 19.331 19.331 19.331 19.331 19.331 19.331 19.331 19.331 0 0 0 0 19.331 19.331 19.331 34.27 34.27 0 0 0 19.331 304.939 274.293 273.428 270.064 269.304 289.106 270.482 270.482 271.172 291.547 288.969 288.799 289.355 289.106 188.336 308.162 288.969 277.482 277.482 271.333 269.782 167.35 268.02 180.958 180.958 180.958 195.919 195.919 195.919 195.919 195.919 195.919 195.919 195.919 195.919 195.919 195.919 195.919 195.919 195.919 174.318 174.318 174.318 174.318 174.318 224.279 224.279 224.279 224.279 180.42 183.825 183.825 183.825 183.825 316.471 316.471 289.184 173.072 289.184 289.184 139.416 148.472 456.415 140.402 83.704 25.537 25.537 25.537 25.537 83.391 83.551 83.391 83.551 25.537 83.551 83.551 83.551 44.212 83.551 44.212 83.391 25.537 83.391 83.551 25.537 82.266 82.266 58.614 58.614 58.614 58.614 58.614 37.972 82.266 82.266 34.923 34.923 82.266 82.266 82.266 82.266 82.266 82.616 25.537 9.193 26.505 130.613 128.712 28.481 85.807 85.807 130.613 130.613 24.916 9.193 24.916 126.698 126.698 17.665 138.498 138.498 27.92 91.973 94.588 91.973 77.134 27.92 27.92 29.505 29.227 26.312 9.193
TT068_Conc2 105.601 189.984 110.035 110.035 129.929 33.428 34.27 34.27 34.27 34.27 34.27 34.27 34.27 0 0 0 0 0 0 0 0 51.143 51.143 51.143 51.143 51.143 51.143 51.143 34.27 34.27 34.27 34.27 34.27 34.27 34.27 0 0 0 0 0 0 0 0 51.143 51.143 51.143 51.143 51.143 51.143 51.143 51.143 34.27 34.27 34.27 34.27 51.143 51.143 51.143 0 0 34.27 34.27 34.27 51.143 287.004 256.357 255.492 252.128 251.368 271.17 252.546 252.546 253.236 273.611 271.033 270.863 271.419 271.17 170.4 290.226 271.033 259.547 259.547 253.397 251.846 149.415 250.084 163.022 163.022 163.022 177.983 177.983 177.983 177.983 177.983 177.983 177.983 177.983 177.983 177.983 177.983 177.983 177.983 177.983 156.382 156.382 156.382 156.382 156.382 206.344 206.344 206.344 206.344 162.484 165.889 165.889 165.889 165.889 298.535 298.535 271.248 155.136 271.248 271.248 171.817 180.872 488.816 122.466 116.105 8.733 8.733 8.733 8.733 115.792 115.952 115.792 115.952 8.733 115.952 115.952 115.952 26.276 115.952 26.276 115.792 8.733 115.792 115.952 8.733 114.667 114.667 91.015 91.015 91.015 91.015 91.015 3.702 114.667 114.667 0.875 0.875 114.667 114.667 114.667 114.667 114.667 115.017 8.733 40.427 58.001 112.677 110.776 18.061 53.335 53.335 112.677 112.677 56.253 40.427 56.253 108.762 108.762 49.317 120.562 120.562 17.5 124.374 125.822 124.374 109.535 17.5 17.5 61.906 61.628 57.808 40.427
TT069_Conc2 105.601 189.984 110.035 110.035 129.929 33.428 34.27 34.27 34.27 34.27 34.27 34.27 34.27 0 0 0 0 0 0 0 0 51.143 51.143 51.143 51.143 51.143 51.143 51.143 34.27 34.27 34.27 34.27 34.27 34.27 34.27 0 0 0 0 0 0 0 0 51.143 51.143 51.143 51.143 51.143 51.143 51.143 51.143 34.27 34.27 34.27 34.27 51.143 51.143 51.143 0 0 34.27 34.27 34.27 51.143 287.004 256.357 255.492 252.128 251.368 271.17 252.546 252.546 253.236 273.611 271.033 270.863 271.419 271.17 170.4 290.226 271.033 259.547 259.547 253.397 251.846 149.415 250.084 163.022 163.022 163.022 177.983 177.983 177.983 177.983 177.983 177.983 177.983 177.983 177.983 177.983 177.983 177.983 177.983 177.983 156.382 156.382 156.382 156.382 156.382 206.344 206.344 206.344 206.344 162.484 165.889 165.889 165.889 165.889 298.535 298.535 271.248 155.136 271.248 271.248 171.817 180.872 488.816 122.466 116.105 8.733 8.733 8.733 8.733 115.792 115.952 115.792 115.952 8.733 115.952 115.952 115.952 26.276 115.952 26.276 115.792 8.733 115.792 115.952 8.733 114.667 114.667 91.015 91.015 91.015 91.015 91.015 3.702 114.667 114.667 0.875 0.875 114.667 114.667 114.667 114.667 114.667 115.017 8.733 40.427 58.001 112.677 110.776 18.061 53.335 53.335 112.677 112.677 56.253 40.427 56.253 108.762 108.762 49.317 120.562 120.562 17.5 124.374 125.822 124.374 109.535 17.5 17.5 61.906 61.628 57.808 40.427
TT070_Conc2 105.601 189.984 110.035 110.035 129.929 33.428 34.27 34.27 34.27 34.27 34.27 34.27 34.27 0 0 0 0 0 0 0 0 51.143 51.143 51.143 51.143 51.143 51.143 51.143 34.27 34.27 34.27 34.27 34.27 34.27 34.27 0 0 0 0 0 0 0 0 51.143 51.143 51.143 51.143 51.143 51.143 51.143 51.143 34.27 34.27 34.27 34.27 51.143 51.143 51.143 0 0 34.27 34.27 34.27 51.143 287.004 256.357 255.492 252.128 251.368 271.17 252.546 252.546 253.236 273.611 271.033 270.863 271.419 271.17 170.4 290.226 271.033 259.547 259.547 253.397 251.846 149.415 250.084 163.022 163.022 163.022 177.983 177.983 177.983 177.983 177.983 177.983 177.983 177.983 177.983 177.983 177.983 177.983 177.983 177.983 156.382 156.382 156.382 156.382 156.382 206.344 206.344 206.344 206.344 162.484 165.889 165.889 165.889 165.889 298.535 298.535 271.248 155.136 271.248 271.248 171.817 180.872 488.816 122.466 116.105 8.733 8.733 8.733 8.733 115.792 115.952 115.792 115.952 8.733 115.952 115.952 115.952 26.276 115.952 26.276 115.792 8.733 115.792 115.952 8.733 114.667 114.667 91.015 91.015 91.015 91.015 91.015 3.702 114.667 114.667 0.875 0.875 114.667 114.667 114.667 114.667 114.667 115.017 8.733 40.427 58.001 112.677 110.776 18.061 53.335 53.335 112.677 112.677 56.253 40.427 56.253 108.762 108.762 49.317 120.562 120.562 17.5 124.374 125.822 124.374 109.535 17.5 17.5 61.906 61.628 57.808 40.427
TT071_Conc2 105.601 189.984 110.035 110.035 129.929 33.428 34.27 34.27 34.27 34.27 34.27 34.27 34.27 0 0 0 0 0 0 0 0 51.143 51.143 51.143 51.143 51.143 51.143 51.143 34.27 34.27 34.27 34.27 34.27 34.27 34.27 0 0 0 0 0 0 0 0 51.143 51.143 51.143 51.143 51.143 51.143 51.143 51.143 34.27 34.27 34.27 34.27 51.143 51.143 51.143 0 0 34.27 34.27 34.27 51.143 287.004 256.357 255.492 252.128 251.368 271.17 252.546 252.546 253.236 273.611 271.033 270.863 271.419 271.17 170.4 290.226 271.033 259.547 259.547 253.397 251.846 149.415 250.084 163.022 163.022 163.022 177.983 177.983 177.983 177.983 177.983 177.983 177.983 177.983 177.983 177.983 177.983 177.983 177.983 177.983 156.382 156.382 156.382 156.382 156.382 206.344 206.344 206.344 206.344 162.484 165.889 165.889 165.889 165.889 298.535 298.535 271.248 155.136 271.248 271.248 171.817 180.872 488.816 122.466 116.105 8.733 8.733 8.733 8.733 115.792 115.952 115.792 115.952 8.733 115.952 115.952 115.952 26.276 115.952 26.276 115.792 8.733 115.792 115.952 8.733 114.667 114.667 91.015 91.015 91.015 91.015 91.015 3.702 114.667 114.667 0.875 0.875 114.667 114.667 114.667 114.667 114.667 115.017 8.733 40.427 58.001 112.677 110.776 18.061 53.335 53.335 112.677 112.677 56.253 40.427 56.253 108.762 108.762 49.317 120.562 120.562 17.5 124.374 125.822 124.374 109.535 17.5 17.5 61.906 61.628 57.808 40.427
TT072_Conc2 105.601 189.984 110.035 110.035 129.929 33.428 34.27 34.27 34.27 34.27 34.27 34.27 34.27 0 0 0 0 0 0 0 0 51.143 51.143 51.143 51.143 51.143 51.143 51.143 34.27 34.27 34.27 34.27 34.27 34.27 34.27 0 0 0 0 0 0 0 0 51.143 51.143 51.143 51.143 51.143 51.143 51.143 51.143 34.27 34.27 34.27 34.27 51.143 51.143 51.143 0 0 34.27 34.27 34.27 51.143 287.004 256.357 255.492 252.128 251.368 271.17 252.546 252.546 253.236 273.611 271.033 270.863 271.419 271.17 170.4 290.226 271.033 259.547 259.547 253.397 251.846 149.415 250.084 163.022 163.022 163.022 177.983 177.983 177.983 177.983 177.983 177.983 177.983 177.983 177.983 177.983 177.983 177.983 177.983 177.983 156.382 156.382 156.382 156.382 156.382 206.344 206.344 206.344 206.344 162.484 165.889 165.889 165.889 165.889 298.535 298.535 271.248 155.136 271.248 271.248 171.817 180.872 488.816 122.466 116.105 8.733 8.733 8.733 8.733 115.792 115.952 115.792 115.952 8.733 115.952 115.952 115.952 26.276 115.952 26.276 115.792 8.733 115.792 115.952 8.733 114.667 114.667 91.015 91.015 91.015 91.015 91.015 3.702 114.667 114.667 0.875 0.875 114.667 114.667 114.667 114.667 114.667 115.017 8.733 40.427 58.001 112.677 110.776 18.061 53.335 53.335 112.677 112.677 56.253 40.427 56.253 108.762 108.762 49.317 120.562 120.562 17.5 124.374 125.822 124.374 109.535 17.5 17.5 61.906 61.628 57.808 40.427
TT073_Conc2 105.601 189.984 110.035 110.035 129.929 33.428 34.27 34.27 34.27 34.27 34.27 34.27 34.27 0 0 0 0 0 0 0 0 51.143 51.143 51.143 51.143 51.143 51.143 51.143 34.27 34.27 34.27 34.27 34.27 34.27 34.27 0 0 0 0 0 0 0 0 51.143 51.143 51.143 51.143 51.143 51.143 51.143 51.143 34.27 34.27 34.27 34.27 51.143 51.143 51.143 0 0 34.27 34.27 34.27 51.143 287.004 256.357 255.492 252.128 251.368 271.17 252.546 252.546 253.236 273.611 271.033 270.863 271.419 271.17 170.4 290.226 271.033 259.547 259.547 253.397 251.846 149.415 250.084 163.022 163.022 163.022 177.983 177.983 177.983 177.983 177.983 177.983 177.983 177.983 177.983 177.983 177.983 177.983 177.983 177.983 156.382 156.382 156.382 156.382 156.382 206.344 206.344 206.344 206.344 162.484 165.889 165.889 165.889 165.889 298.535 298.535 271.248 155.136 271.248 271.248 171.817 180.872 488.816 122.466 116.105 8.733 8.733 8.733 8.733 115.792 115.952 115.792 115.952 8.733 115.952 115.952 115.952 26.276 115.952 26.276 115.792 8.733 115.792 115.952 8.733 114.667 114.667 91.015 91.015 91.015 91.015 91.015 3.702 114.667 114.667 0.875 0.875 114.667 114.667 114.667 114.667 114.667 115.017 8.733 40.427 58.001 112.677 110.776 18.061 53.335 53.335 112.677 112.677 56.253 40.427 56.253 108.762 108.762 49.317 120.562 120.562 17.5 124.374 125.822 124.374 109.535 17.5 17.5 61.906 61.628 57.808 40.427
TT074_190326 105.601 189.984 110.035 110.035 129.929 33.428 34.27 34.27 34.27 34.27 34.27 34.27 34.27 0 0 0 0 0 0 0 0 51.143 51.143 51.143 51.143 51.143 51.143 51.143 34.27 34.27 34.27 34.27 34.27 34.27 34.27 0 0 0 0 0 0 0 0 51.143 51.143 51.143 51.143 51.143 51.143 51.143 51.143 34.27 34.27 34.27 34.27 51.143 51.143 51.143 0 0 34.27 34.27 34.27 51.143 287.004 256.357 255.492 252.128 251.368 271.17 252.546 252.546 253.236 273.611 271.033 270.863 271.419 271.17 170.4 290.226 271.033 259.547 259.547 253.397 251.846 149.415 250.084 163.022 163.022 163.022 177.983 177.983 177.983 177.983 177.983 177.983 177.983 177.983 177.983 177.983 177.983 177.983 177.983 177.983 156.382 156.382 156.382 156.382 156.382 206.344 206.344 206.344 206.344 162.484 165.889 165.889 165.889 165.889 298.535 298.535 271.248 155.136 271.248 271.248 171.817 180.872 488.816 122.466 116.105 8.733 8.733 8.733 8.733 115.792 115.952 115.792 115.952 8.733 115.952 115.952 115.952 26.276 115.952 26.276 115.792 8.733 115.792 115.952 8.733 114.667 114.667 91.015 91.015 91.015 91.015 91.015 3.702 114.667 114.667 0.875 0.875 114.667 114.667 114.667 114.667 114.667 115.017 8.733 40.427 58.001 112.677 110.776 18.061 53.335 53.335 112.677 112.677 56.253 40.427 56.253 108.762 108.762 49.317 120.562 120.562 17.5 124.374 125.822 124.374 109.535 17.5 17.5 61.906 61.628 57.808 40.427
TT075_Conc2 105.601 189.984 110.035 110.035 129.929 33.428 34.27 34.27 34.27 34.27 34.27 34.27 34.27 0 0 0 0 0 0 0 0 51.143 51.143 51.143 51.143 51.143 51.143 51.143 34.27 34.27 34.27 34.27 34.27 34.27 34.27 0 0 0 0 0 0 0 0 51.143 51.143 51.143 51.143 51.143 51.143 51.143 51.143 34.27 34.27 34.27 34.27 51.143 51.143 51.143 0 0 34.27 34.27 34.27 51.143 287.004 256.357 255.492 252.128 251.368 271.17 252.546 252.546 253.236 273.611 271.033 270.863 271.419 271.17 170.4 290.226 271.033 259.547 259.547 253.397 251.846 149.415 250.084 163.022 163.022 163.022 177.983 177.983 177.983 177.983 177.983 177.983 177.983 177.983 177.983 177.983 177.983 177.983 177.983 177.983 156.382 156.382 156.382 156.382 156.382 206.344 206.344 206.344 206.344 162.484 165.889 165.889 165.889 165.889 298.535 298.535 271.248 155.136 271.248 271.248 171.817 180.872 488.816 122.466 116.105 8.733 8.733 8.733 8.733 115.792 115.952 115.792 115.952 8.733 115.952 115.952 115.952 26.276 115.952 26.276 115.792 8.733 115.792 115.952 8.733 114.667 114.667 91.015 91.015 91.015 91.015 91.015 3.702 114.667 114.667 0.875 0.875 114.667 114.667 114.667 114.667 114.667 115.017 8.733 40.427 58.001 112.677 110.776 18.061 53.335 53.335 112.677 112.677 56.253 40.427 56.253 108.762 108.762 49.317 120.562 120.562 17.5 124.374 125.822 124.374 109.535 17.5 17.5 61.906 61.628 57.808 40.427
TT076_190326 140.41 239.329 144.844 144.844 164.738 19.639 19.331 19.331 19.331 19.331 19.331 19.331 19.331 51.143 51.143 51.143 51.143 51.143 51.143 51.143 51.143 0 0 0 0 0 0 0 19.331 19.331 19.331 19.331 19.331 19.331 19.331 51.143 51.143 51.143 51.143 51.143 51.143 51.143 51.143 0 0 0 0 0 0 0 0 19.331 19.331 19.331 19.331 0 0 0 51.143 51.143 19.331 19.331 19.331 0 321.812 291.166 290.301 286.937 286.177 305.979 287.355 287.355 288.045 308.42 305.842 305.672 306.228 305.979 205.209 325.035 305.842 294.355 294.355 288.206 286.655 184.224 284.893 197.831 197.831 197.831 212.792 212.792 212.792 212.792 212.792 212.792 212.792 212.792 212.792 212.792 212.792 212.792 212.792 212.792 191.191 191.191 191.191 191.191 191.191 241.153 241.153 241.153 241.153 197.293 200.698 200.698 200.698 200.698 333.344 333.344 306.057 189.945 306.057 306.057 120.723 129.779 437.722 157.275 65.011 42.41 42.41 42.41 42.41 64.698 64.859 64.698 64.859 42.41 64.859 64.859 64.859 61.085 64.859 61.085 64.698 42.41 64.698 64.859 42.41 63.573 63.573 39.922 39.922 39.922 39.922 39.922 54.845 63.573 63.573 51.796 51.796 63.573 63.573 63.573 63.573 63.573 63.923 42.41 10.717 7.174 147.486 145.585 45.354 102.681 102.681 147.486 147.486 5.585 10.717 5.585 143.571 143.571 2.035 155.371 155.371 44.793 73.28 75.262 73.28 58.442 44.793 44.793 10.812 10.534 6.981 10.717
TT077_190326 140.41 239.329 144.844 144.844 164.738 19.639 19.331 19.331 19.331 19.331 19.331 19.331 19.331 51.143 51.143 51.143 51.143 51.143 51.143 51.143 51.143 0 0 0 0 0 0 0 19.331 19.331 19.331 19.331 19.331 19.331 19.331 51.143 51.143 51.143 51.143 51.143 51.143 51.143 51.143 0 0 0 0 0 0 0 0 19.331 19.331 19.331 19.331 0 0 0 51.143 51.143 19.331 19.331 19.331 0 321.812 291.166 290.301 286.937 286.177 305.979 287.355 287.355 288.045 308.42 305.842 305.672 306.228 305.979 205.209 325.035 305.842 294.355 294.355 288.206 286.655 184.224 284.893 197.831 197.831 197.831 212.792 212.792 212.792 212.792 212.792 212.792 212.792 212.792 212.792 212.792 212.792 212.792 212.792 212.792 191.191 191.191 191.191 191.191 191.191 241.153 241.153 241.153 241.153 197.293 200.698 200.698 200.698 200.698 333.344 333.344 306.057 189.945 306.057 306.057 120.723 129.779 437.722 157.275 65.011 42.41 42.41 42.41 42.41 64.698 64.859 64.698 64.859 42.41 64.859 64.859 64.859 61.085 64.859 61.085 64.698 42.41 64.698 64.859 42.41 63.573 63.573 39.922 39.922 39.922 39.922 39.922 54.845 63.573 63.573 51.796 51.796 63.573 63.573 63.573 63.573 63.573 63.923 42.41 10.717 7.174 147.486 145.585 45.354 102.681 102.681 147.486 147.486 5.585 10.717 5.585 143.571 143.571 2.035 155.371 155.371 44.793 73.28 75.262 73.28 58.442 44.793 44.793 10.812 10.534 6.981 10.717
TT078_Conc2 140.41 239.329 144.844 144.844 164.738 19.639 19.331 19.331 19.331 19.331 19.331 19.331 19.331 51.143 51.143 51.143 51.143 51.143 51.143 51.143 51.143 0 0 0 0 0 0 0 19.331 19.331 19.331 19.331 19.331 19.331 19.331 51.143 51.143 51.143 51.143 51.143 51.143 51.143 51.143 0 0 0 0 0 0 0 0 19.331 19.331 19.331 19.331 0 0 0 51.143 51.143 19.331 19.331 19.331 0 321.812 291.166 290.301 286.937 286.177 305.979 287.355 287.355 288.045 308.42 305.842 305.672 306.228 305.979 205.209 325.035 305.842 294.355 294.355 288.206 286.655 184.224 284.893 197.831 197.831 197.831 212.792 212.792 212.792 212.792 212.792 212.792 212.792 212.792 212.792 212.792 212.792 212.792 212.792 212.792 191.191 191.191 191.191 191.191 191.191 241.153 241.153 241.153 241.153 197.293 200.698 200.698 200.698 200.698 333.344 333.344 306.057 189.945 306.057 306.057 120.723 129.779 437.722 157.275 65.011 42.41 42.41 42.41 42.41 64.698 64.859 64.698 64.859 42.41 64.859 64.859 64.859 61.085 64.859 61.085 64.698 42.41 64.698 64.859 42.41 63.573 63.573 39.922 39.922 39.922 39.922 39.922 54.845 63.573 63.573 51.796 51.796 63.573 63.573 63.573 63.573 63.573 63.923 42.41 10.717 7.174 147.486 145.585 45.354 102.681 102.681 147.486 147.486 5.585 10.717 5.585 143.571 143.571 2.035 155.371 155.371 44.793 73.28 75.262 73.28 58.442 44.793 44.793 10.812 10.534 6.981 10.717
TT079_Conc2 140.41 239.329 144.844 144.844 164.738 19.639 19.331 19.331 19.331 19.331 19.331 19.331 19.331 51.143 51.143 51.143 51.143 51.143 51.143 51.143 51.143 0 0 0 0 0 0 0 19.331 19.331 19.331 19.331 19.331 19.331 19.331 51.143 51.143 51.143 51.143 51.143 51.143 51.143 51.143 0 0 0 0 0 0 0 0 19.331 19.331 19.331 19.331 0 0 0 51.143 51.143 19.331 19.331 19.331 0 321.812 291.166 290.301 286.937 286.177 305.979 287.355 287.355 288.045 308.42 305.842 305.672 306.228 305.979 205.209 325.035 305.842 294.355 294.355 288.206 286.655 184.224 284.893 197.831 197.831 197.831 212.792 212.792 212.792 212.792 212.792 212.792 212.792 212.792 212.792 212.792 212.792 212.792 212.792 212.792 191.191 191.191 191.191 191.191 191.191 241.153 241.153 241.153 241.153 197.293 200.698 200.698 200.698 200.698 333.344 333.344 306.057 189.945 306.057 306.057 120.723 129.779 437.722 157.275 65.011 42.41 42.41 42.41 42.41 64.698 64.859 64.698 64.859 42.41 64.859 64.859 64.859 61.085 64.859 61.085 64.698 42.41 64.698 64.859 42.41 63.573 63.573 39.922 39.922 39.922 39.922 39.922 54.845 63.573 63.573 51.796 51.796 63.573 63.573 63.573 63.573 63.573 63.923 42.41 10.717 7.174 147.486 145.585 45.354 102.681 102.681 147.486 147.486 5.585 10.717 5.585 143.571 143.571 2.035 155.371 155.371 44.793 73.28 75.262 73.28 58.442 44.793 44.793 10.812 10.534 6.981 10.717
TT080_Conc2 140.41 239.329 144.844 144.844 164.738 19.639 19.331 19.331 19.331 19.331 19.331 19.331 19.331 51.143 51.143 51.143 51.143 51.143 51.143 51.143 51.143 0 0 0 0 0 0 0 19.331 19.331 19.331 19.331 19.331 19.331 19.331 51.143 51.143 51.143 51.143 51.143 51.143 51.143 51.143 0 0 0 0 0 0 0 0 19.331 19.331 19.331 19.331 0 0 0 51.143 51.143 19.331 19.331 19.331 0 321.812 291.166 290.301 286.937 286.177 305.979 287.355 287.355 288.045 308.42 305.842 305.672 306.228 305.979 205.209 325.035 305.842 294.355 294.355 288.206 286.655 184.224 284.893 197.831 197.831 197.831 212.792 212.792 212.792 212.792 212.792 212.792 212.792 212.792 212.792 212.792 212.792 212.792 212.792 212.792 191.191 191.191 191.191 191.191 191.191 241.153 241.153 241.153 241.153 197.293 200.698 200.698 200.698 200.698 333.344 333.344 306.057 189.945 306.057 306.057 120.723 129.779 437.722 157.275 65.011 42.41 42.41 42.41 42.41 64.698 64.859 64.698 64.859 42.41 64.859 64.859 64.859 61.085 64.859 61.085 64.698 42.41 64.698 64.859 42.41 63.573 63.573 39.922 39.922 39.922 39.922 39.922 54.845 63.573 63.573 51.796 51.796 63.573 63.573 63.573 63.573 63.573 63.923 42.41 10.717 7.174 147.486 145.585 45.354 102.681 102.681 147.486 147.486 5.585 10.717 5.585 143.571 143.571 2.035 155.371 155.371 44.793 73.28 75.262 73.28 58.442 44.793 44.793 10.812 10.534 6.981 10.717
